The Moon,1105 E Lafayette St,32301,Tallahassee,"1500",GA
The Pavilion,2415 N Monroe St,32303,Tallahassee,"10000",GA
Capital City Amphitheater,1001 S Gadsden St,32301,Tallahassee,"3500",GA
Donald L. Tucker Civic Center,505 W Pensacola St,32301,Tallahassee,"12100",Assigned
Crowbar,1812 N 17th St,33605,Tampa,300,GA
The Orpheum,1915 E 7th Ave,33605,Tampa,720,GA
Midflorida Credit Union Amphitheatre,4802 U.S. 301,33610,Tampa,"20000",Assigned
The Ritz,1503 E 7th Ave,33605,Tampa,"1100",GA
Jannus Live,200 1st Ave N,33701,Tampa,"2000",GA
Culture Room,3045 N Federal Hwy,33306,Ft. Lauderdale,650,GA
Pompano Beach Amphitheatre,1801 NE 6th St,33060,Ft. Lauderdale,"10000",Assigned
High Dive,210 SW 2nd Ave,32601,Gainesville,450,GA
American Airlines Arena,601 Biscayne Blvd,33132,Miami,"19600",Assigned
The Fillmore,1700 Washington Ave,33139,Miami,"2700",Assigned
The Social,54 N Orange Ave,32801,Orlando,400,GA
The Beacham,46 N Orange Ave,32801,Orlando,"1250",GA
Amway Center,400 W Church St,32801,Orlando,"17461",Assigned
House of Blues,1490 E Buena Vista Dr,32830,Orlando,"3000",GA
Hard Rock Live,6050 Universal Blvd,32819,Orlando,"5500",Assigned
St. Augustine Amphitheatre,1340C A1A S,32080,St. Augustine,"4092",Assigned
1904 Music Hall,19 N Ocean St,32202,Jacksonville,300,GA
Jack Rabbit's,1528 Hendricks Ave,32207,Jacksonville,300,GA
Veteran's Memorial Arena,300 A Philip Randolph Blvd,32202,Jacksonville,"15000",Assigned
Ponte Vedra Concert Hall,1050 A1A N,32082,Jacksonville,900,Varies
